N,p,f,pop_type,alpha,p_true,cube_e_max,cube_e_mean,cube_bias,cube_nfrac,cube_nsel,sph_e_max,sph_e_mean,sph_bias,sph_nfrac,sph_nsel,delta_e_max,delta_e_mean,delta_bias,rep
50,2,0.2,mixed,0.4,0.6,0.5564191095526856,0.3084356485321737,-0.09999999999999998,2,10,0.35357676913363,0.25414985419083763,0.09999999999999998,2,7,-0.20284234041905558,-0.05428579434133607,0.0,5
50,2,0.2,mixed,0.4,0.6,0.6375616507963227,0.3790451393898468,-0.19999999999999996,2,7,0.9337100178627622,0.47289929472200176,0.0,2,8,0.29614836706643954,0.09385415533215496,-0.19999999999999996,6
50,2,0.2,mixed,0.4,0.6,0.20530177186214563,0.14157679179438074,-0.09999999999999998,2,8,0.1204801802059787,0.11345863647359722,0.0,2,11,-0.08482159165616693,-0.028118155320783517,-0.09999999999999998,7
50,2,0.2,mixed,0.4,0.6,1.7142093563887566,0.8649028353923044,0.0,2,12,0.8954802318137354,0.46540401227786093,-0.19999999999999996,2,8,-0.8187291245750212,-0.39949882311444346,0.19999999999999996,8
50,2,0.2,mixed,0.4,0.6,0.06979645565130112,0.04508205985330641,-0.39999999999999997,2,8,2.3339978918197697,1.182492234701379,-0.19999999999999996,2,10,2.2642014361684684,1.1374101748480727,-0.2,9
50,2,0.2,mixed,0.4,0.6,0.44381601941886617,0.25157756162029576,-0.09999999999999998,2,8,3.0947386322744252,1.7837000183752911,-0.19999999999999996,2,9,2.650922612855559,1.5321224567549954,0.09999999999999998,10
50,2,0.2,mixed,0.4,0.6,18.387501761586726,9.234858148520983,-0.09999999999999998,2,7,9.409312231796086,4.708735401967149,-0.09999999999999998,2,8,-8.97818952979064,-4.526122746553834,0.0,11
50,2,0.2,mixed,0.4,0.6,1.177694188155089,0.6008731499947046,0.0,2,9,0.08500942675952206,0.05618808087093822,0.0,2,11,-1.092684761395567,-0.5446850691237665,0.0,12
50,2,0.2,mixed,0.4,0.6,1.1816322566575994,0.7118191430790536,0.0,2,8,0.02563569070924256,0.01792641009039144,0.0,2,10,-1.1559965659483569,-0.6938927329886622,0.0,13
50,2,0.2,mixed,0.4,0.6,0.1048327761439334,0.06143012080667428,-0.19999999999999996,2,8,0.7157519552886217,0.3913369449935753,0.20000000000000007,2,11,0.6109191791446883,0.32990682418690104,1.1102230246251565e-16,14
50,2,0.2,mixed,0.4,0.6,0.05962673917821273,0.03482035537001076,-0.09999999999999998,2,9,0.7970058584118497,0.6019841624234457,-0.09999999999999998,2,11,0.737379119233637,0.5671638070534349,0.0,15
50,2,0.2,mixed,0.4,0.6,0.5276741792792433,0.2828469134876757,0.09999999999999998,2,11,3.267301009451195,1.6623105851781093,0.09999999999999998,2,12,2.739626830171952,1.3794636716904336,0.0,16
50,2,0.2,mixed,0.4,0.6,3.6990851396665807,1.9067385813919597,-0.09999999999999998,2,10,7.130715226314057,3.685312685573424,0.09999999999999998,2,11,3.431630086647476,1.7785741041814642,0.0,17
50,2,0.2,mixed,0.4,0.6,0.8836202138000158,0.5192192968224002,0.0,2,10,7.3375257023437115,3.694194734730162,-0.3,2,10,6.453905488543696,3.174975437907762,0.3,18
50,2,0.2,mixed,0.4,0.6,0.28249118768774395,0.1594910682275865,-0.19999999999999996,2,11,4.665088724020489,2.3514267066108863,0.0,2,10,4.382597536332745,2.1919356383833,-0.19999999999999996,19
50,2,0.2,skewed,0.0,0.6,0.6190855429707454,0.47332162234072683,-0.3,2,11,0.5654427406426179,0.30117150700234574,0.20000000000000007,2,15,-0.05364280232812746,-0.1721501153383811,-0.09999999999999992,0
50,2,0.2,skewed,0.0,0.6,0.7105115426651792,0.5557307036848477,-0.3,2,7,0.19293791207204372,0.14448320087448518,0.0,2,11,-0.5175736305931355,-0.4112475028103625,-0.3,1
50,2,0.2,skewed,0.0,0.6,0.24988571521567218,0.1607427266570505,0.20000000000000007,2,10,0.22762436279948622,0.13367167711927602,0.0,2,10,-0.02226135241618596,-0.027071049537774478,-0.20000000000000007,2
50,2,0.2,skewed,0.0,0.6,0.06879828576510234,0.03952290842439332,-0.19999999999999996,2,8,0.23591348254149452,0.12089618701236815,-0.09999999999999998,2,6,0.1671151967763922,0.08137327858797483,-0.09999999999999998,3
50,2,0.2,skewed,0.0,0.6,0.3823614730181759,0.23210231499852302,0.09999999999999998,2,11,0.6332629877028922,0.488119802662685,0.0,2,10,0.25090151468471633,0.256017487664162,-0.09999999999999998,4
50,2,0.2,skewed,0.0,0.6,1.1876280660596712,0.8967446414538109,-0.09999999999999998,2,8,0.06111437039229369,0.03587231839963173,0.0,2,11,-1.1265136956673776,-0.8608723230541793,-0.09999999999999998,5
50,2,0.2,skewed,0.0,0.6,0.9323403297712299,0.4799632535458256,-0.3,2,8,0.9000353539900346,0.6780596237396218,-0.19999999999999996,2,10,-0.03230497578119529,0.19809637019379622,-0.10000000000000003,6
50,2,0.2,skewed,0.0,0.6,0.42286716382104145,0.22072759545297396,0.09999999999999998,2,11,0.17024152445565718,0.09961124478411973,0.09999999999999998,2,11,-0.2526256393653843,-0.12111635066885423,0.0,7
50,2,0.2,skewed,0.0,0.6,0.7984905969163322,0.43246622356164877,-0.19999999999999996,2,7,0.893978235048369,0.4915809752997987,-0.09999999999999998,2,9,0.09548763813203687,0.05911475173814995,-0.09999999999999998,8
50,2,0.2,skewed,0.0,0.6,0.6066485506983254,0.4041726277361231,0.0,2,7,0.34291250483181474,0.3217934878971088,-0.09999999999999998,2,9,-0.2637360458665106,-0.08237913983901429,0.09999999999999998,9
50,2,0.2,skewed,0.0,0.6,0.09678600395184872,0.07125963138837839,0.20000000000000007,2,12,0.4784390978231864,0.3563324101044686,-0.09999999999999998,2,7,0.38165309387133767,0.2850727787160902,-0.10000000000000009,10
50,2,0.2,skewed,0.0,0.6,0.894955242645732,0.522138431882592,0.09999999999999998,2,14,0.8800045030060005,0.5848550896882891,0.20000000000000007,2,12,-0.01495073963973148,0.06271665780569713,0.10000000000000009,11
50,2,0.2,skewed,0.0,0.6,0.16162898014629123,0.1270958286038735,-0.09999999999999998,2,10,0.13533700604148113,0.0737686607276976,0.0,2,12,-0.0262919741048101,-0.053327167876175904,-0.09999999999999998,12
50,2,0.2,skewed,0.0,0.6,0.7480630758932474,0.5958955663715799,0.20000000000000007,2,11,0.710890103703384,0.43873147848127136,-0.09999999999999998,2,9,-0.037172972189863374,-0.15716408789030856,-0.10000000000000009,13
50,2,0.2,skewed,0.0,0.6,0.38311821503035587,0.2651776375618956,0.09999999999999998,2,7,0.387230375071352,0.28601225435196026,-0.19999999999999996,2,9,0.004112160040996127,0.020834616790064653,0.09999999999999998,14
50,2,0.2,skewed,0.0,0.6,0.043552851722039015,0.038233229749368665,0.0,2,11,0.46931446109776037,0.27083584111512615,-0.19999999999999996,2,9,0.4257616093757214,0.2326026113657575,0.19999999999999996,15
50,2,0.2,skewed,0.0,0.6,1.8085415471182684,0.9202859470100616,-0.19999999999999996,2,9,0.6216782947118765,0.3258526815700141,0.09999999999999998,2,12,-1.186863252406392,-0.5944332654400475,-0.09999999999999998,16
50,2,0.2,skewed,0.0,0.6,0.8101471454388935,0.6204298480541732,0.20000000000000007,2,10,0.9350456586772216,0.572724254926119,-0.09999999999999998,2,8,0.12489851323832801,-0.047705593128054224,-0.10000000000000009,17
50,2,0.2,skewed,0.0,0.6,0.8754727042548796,0.5285593358727566,-0.3,2,6,0.8464820466856825,0.6138805636125902,0.0,2,10,-0.028990657569197054,0.08532122773983364,-0.3,18
50,2,0.2,skewed,0.0,0.6,0.33340867532859075,0.2645126108343578,0.0,2,11,0.06898930507999866,0.04156775995075458,0.4,2,13,-0.2644193702485921,-0.22294485088360322,0.4,19
50,2,0.2,skewed,0.1,0.6,0.7051360342649317,0.36614434356545966,0.20000000000000007,2,11,0.4669069395644464,0.24655074948175573,0.20000000000000007,2,11,-0.23822909470048526,-0.11959359408370393,0.0,0
50,2,0.2,skewed,0.1,0.6,0.5367850590499508,0.3174781509541753,-0.09999999999999998,2,11,0.3125141026563559,0.22780728488096252,0.0,2,9,-0.2242709563935949,-0.08967086607321278,-0.09999999999999998,1
50,2,0.2,skewed,0.1,0.6,0.7515008483681566,0.39429554573117637,-0.09999999999999998,2,13,0.5044555171913865,0.32966524519403295,-0.3,2,8,-0.24704533117677008,-0.06463030053714341,0.2,2
