N,p,f,pop_type,alpha,p_true,cube_e_max,cube_e_mean,cube_bias,cube_nfrac,cube_nsel,sph_e_max,sph_e_mean,sph_bias,sph_nfrac,sph_nsel,delta_e_max,delta_e_mean,delta_bias,rep
50,5,0.3,mixed,0.2,0.6,33.4000363772537,6.7303309743636275,0.0,5,14,8.26871544265477,1.9278137041686692,-0.13333333333333336,5,12,-25.13132093459893,-4.802517270194958,0.13333333333333336,7
50,5,0.3,mixed,0.2,0.6,0.5858351347486933,0.21649253678534336,-0.06666666666666665,5,12,0.6144696002968724,0.1723415762574587,-0.13333333333333336,5,14,0.028634465548179056,-0.04415096052788467,0.06666666666666671,8
50,5,0.3,mixed,0.2,0.6,0.45911885780608835,0.17048484035888092,-0.13333333333333336,5,13,0.10739638877328106,0.04353890518107604,-0.06666666666666665,5,13,-0.3517224690328073,-0.1269459351778049,-0.06666666666666671,9
50,5,0.7,mixed,0.0,0.6,2.33078962869956,0.5339128204097402,0.05714285714285705,5,37,4.005774486158135,0.8349366418184146,0.05714285714285705,5,36,1.6749848574585746,0.30102382140867445,0.0,0
50,5,0.7,mixed,0.0,0.6,0.7196375383476243,0.1838554749050632,0.0,5,34,0.12301190739063868,0.03449869994156497,0.02857142857142847,5,36,-0.5966256309569856,-0.14935677496349825,0.02857142857142847,1
50,5,0.7,mixed,0.0,0.6,0.18532109996934917,0.06714310692160343,0.05714285714285705,5,37,0.24200082352734684,0.0657177615469339,-0.02857142857142858,5,35,0.05667972355799766,-0.001425345374669526,-0.02857142857142847,2
50,5,0.7,mixed,0.0,0.6,0.1944891372164246,0.08929111636730126,0.05714285714285705,5,35,0.17689627851857603,0.08433952160322264,-1.1102230246251565e-16,5,37,-0.017592858697848573,-0.004951594764078623,-0.05714285714285694,3
50,5,0.7,mixed,0.0,0.6,0.41180989616540403,0.15836249440185216,0.05714285714285705,5,36,0.09089642151500753,0.0289462993455493,0.05714285714285705,5,38,-0.3209134746503965,-0.12941619505630286,0.0,4
50,5,0.7,mixed,0.0,0.6,0.4375109977732144,0.1417125040020745,0.0,5,35,0.08114276723111061,0.04939436297055231,-0.05714285714285716,5,36,-0.35636823054210376,-0.0923181410315222,0.05714285714285716,5
50,5,0.7,mixed,0.0,0.6,0.44826618063263646,0.1399806689638634,0.0,5,36,0.5886545094842476,0.1566314262751815,0.0,5,36,0.14038832885161112,0.0166507573113181,0.0,6
50,5,0.7,mixed,0.0,0.6,0.2856004275405347,0.0991514693098342,-0.08571428571428585,5,34,0.19796189817562193,0.087028222175843,-0.02857142857142858,5,33,-0.08763852936491279,-0.01212324713399121,-0.05714285714285727,7
50,5,0.7,mixed,0.0,0.6,0.5559838290580094,0.17383316239554525,-1.1102230246251565e-16,5,38,0.05841002791907698,0.026417798475897543,-0.028571428571428692,5,36,-0.4975738011389324,-0.1474153639196477,0.02857142857142858,8
50,5,0.7,mixed,0.0,0.6,0.3059841588957396,0.1061112969586118,-1.1102230246251565e-16,5,38,0.11171928133004991,0.04505587401669956,0.02857142857142847,5,35,-0.1942648775656897,-0.061055422941912234,0.02857142857142836,9
50,5,0.7,mixed,0.2,0.6,2.0177717644793574,0.4210959112487104,-0.028571428571428692,5,36,1.3168459021345074,0.3205552811687472,-0.05714285714285716,5,34,-0.70092586234485,-0.10054063007996317,0.02857142857142847,0
50,5,0.7,mixed,0.2,0.6,1.0489916876050056,0.3185717493249349,0.11428571428571443,5,37,0.5084428831910468,0.19734957850799867,-0.08571428571428563,5,32,-0.5405488044139588,-0.12122217081693626,-0.028571428571428803,1
50,5,0.7,mixed,0.2,0.6,0.7500817911325192,0.17766815777415876,0.05714285714285705,5,35,0.5819633119055266,0.17998143915982928,0.02857142857142847,5,36,-0.16811847922699252,0.0023132813856705237,-0.02857142857142858,2
50,5,0.7,mixed,0.2,0.6,1.4941684122108476,0.3179011070766565,0.0,5,36,0.7779270781859983,0.21107587899234806,-0.02857142857142858,5,33,-0.7162413340248494,-0.10682522808430842,0.02857142857142858,3
50,5,0.7,mixed,0.2,0.6,0.6046264396718846,0.2091941242408158,-0.028571428571428692,5,36,0.22132614026207142,0.06066232211912703,0.05714285714285705,5,37,-0.38330029940981314,-0.14853180212168876,0.02857142857142836,4
50,5,0.7,mixed,0.2,0.6,1.1702294203709485,0.38690482286110767,0.0,5,34,0.13381061236112304,0.0507563356037106,0.02857142857142847,5,35,-1.0364188080098253,-0.33614848725739704,0.02857142857142847,5
